coffee_name;total_score;roaster_location;coffee_origin;roast_level;est._price;agtron_ground;agtron_roast;price_per_100g;price_per_ounce;origin_country;clean_roaster_location;roaster_country;origin_country_clean
Ka’u Red Bourbon;95;Hilo, Hawai'i;Ka’u growing region, Hawai’i Island, Hawai’i;Medium Light;$44.00/10 ounces;60;78;15.52;44;;Hilo, Hawaii;USA;
Kona Bloom;94;Hilo, Hawai'i;Kona District, Hawai’i Island, Hawai’i;Medium Light;$44.00/10 ounces;57;78;15.52;44;;Hilo, Hawaii;USA;
Guatemala Retiro del Quisaya Washed Process;94;Durango, Colorado;San Martin Jilotepeque, Chimaltenango Department, Guatemala;Medium Light;$19.95/12 ounces;57;79;5.86;19.95;Guatemala;Durango, Colorado;USA;Guatemala
Ethiopian Single Origin;94;Norfolk, Virginia;Ethiopia;Medium Light;$16.99/12 ounces;52;74;4.99;16.99;Ethiopia;Norfolk, Virginia;USA;Ethiopia
Colombia Finca Al Paraiso Y–05 Lychee;95;Glendale, California;Piendamó, Cauca Department, Colombia;Medium;$30.50/12 ounces;52;64;8.97;45807;Colombia;Glendale, California;USA;Colombia
Colombia Las Perlitas Anaerobic Honey;94;Santa Fe, New Mexico;Medellin, Colombia;Medium Light;$25.00/227 grams;59;81;11.01;0.881834215;Colombia;Santa Fe, New Mexico;USA;Colombia
Panama Altieri Luci Geisha Natural Cold Dry Ferment;94;Los Angeles, California;Boquete growing region, western Panama;Medium Light;$59.95/170 grams;58;81;35.26;2.114638448;Panama;Los Angeles, California;USA;Panama
Costa Rica La Minita;94;Tulsa, Oklahoma;Los Santos, Tarrazú, Costa Rica;Medium Light;$22.00/12 ounces;56;82;6.47;22;Rica;Tulsa, Oklahoma;USA;Costa Rica
Ethiopia Guji Grape GildVine Natural G1;94;Tainan, Taiwan;Guji Zone, Oromia region, southern Ethiopia;Light;NT $500/227 grams;67;88;220.26;17.6366843;Ethiopia;Tainan, Taiwan;Taiwan;Ethiopia
Kenya Baragwi Guama AA Washed;95;Baronett, Wisconsin;Guama Village, Kirinyaga County, Kenya;Light;$21.00/12 ounces;61;83;6.17;21;Kenya;Barronett, Wisconsin;USA;Kenya
Potosi Pink Bourbon Natural Colombia;96;Madison, Wisconsin;Trujillo, Valle Del Cauca, Cauca Department, Colombia;Light;$29.00/8 ounces;64;86;12.79;29;Colombia;Madison, Wisconsin;USA;Colombia
Wilton Benitez Sudan Rume Colombia;95;Madison, Wisconsin;Piendamó, Cauca Department, Colombia;Light;$25.00/8 ounces;62;82;11.02;25;Colombia;Madison, Wisconsin;USA;Colombia
Kangocho Kenya;95;Madison, Wisconsin;Nyeri County, Kenya;Medium Light;$25.00/12 ounces;59;81;7.35;25;Kenya;Madison, Wisconsin;USA;Kenya
La Esperanza Mandela;95;Madison, Wisconsin;Trujillo, Valle Del Cauca, Cauca Department, Colombia;Light;$27.00/8 ounces;62;80;11.9;27;Colombia;Madison, Wisconsin;USA;Colombia
Mexico Alva Flores;94;Fort Wayne, Indiana;Santa Cruz, Ozolotepec, Oaxaca, Mexico;Medium Light;$18.00/12 ounces;54;72;5.29;18;Mexico;Fort Wayne, Indiana;USA;Mexico
Ethiopia Natural Sidama Blue Donkey Lot 2;96;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $350/8 ounces;62;84;154.32;350;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Trust the Process Costa Rica Finca Carrizal SL28 Black Diamond Natural;95;Floyd, Virginia;Sabanilla de Alajuela growing region, Costa Rica;Light;$24.00/8 ounces;62;84;10.58;24;Rica;Floyd, Virginia;USA;Costa Rica
Guatemala Washed Finca El General Gesha;94;Chia-Yi, Taiwan;Acatenango, Chimaltenango, Guatemala;Medium Light;NT $420/4 ounces;58;77;370.37;420;Guatemala;Chia-Yi, Taiwan;Taiwan;Guatemala
Guatemala Finca El General Bourbon Honey Espresso;94;Chia-Yi, Taiwan;Acatenango, Chimaltenango, Guatemala;Medium Light;NT $420/4 ounces;56;76;370.37;420;Guatemala;Chia-Yi, Taiwan;Taiwan;Guatemala
True Love Espresso Blend;94;Chia-Yi, Taiwan;Ethiopia, Guatemala;Medium Light;NT $260/8 ounces;57;77;114.64;260;Guatemala;Chia-Yi, Taiwan;Taiwan;Guatemala
Colombia Sebastian Ramirez Washed Pink Bourbon;97;McHenry, Illinois;Quindio Department, Colombia;Light;$30.00/12 ounces;62;84;8.82;30;Colombia;McHenry, Illinois;USA;Colombia
Colombia Manos Juntas Anaerobic Natural;94;Peoria, Illinois;Cauca Department, Colombia;Light;$18.00/12 ounces;63;85;5.29;18;Colombia;Peoria, Illinois;USA;Colombia
Ecuador La Papaya Geisha Natural;96;Fort Wayne, Indiana;Saraguro, Loja, Ecuador;Medium Light;$38.00/8 ounces;61;79;16.75;38;Ecuador;Fort Wayne, Indiana;USA;Ecuador
Yemen Al Obrah;95;Fort Wayne, Indiana;Al Obrah, Hayma Dakhaliya, Sana'a, Yemen;Light;$42.00/8 ounces;62;86;18.52;42;Yemen;Fort Wayne, Indiana;USA;Yemen
Kenya Embu;95;Taichung, Taiwan;Embu County, Kenya;Light;NT $1200/227 grams;62;80;528.63;42.32804233;Kenya;Taichung, Taiwan;Taiwan;Kenya
Yemen Ismaili;94;Taichung, Taiwan;Bani Ismail District, Sana'a, Yemen;Medium Light;NT $1200/227 grams;57;81;528.63;42.32804233;Yemen;Taichung, Taiwan;Taiwan;Yemen
Guatemala Acatenango Geisha;94;Tiachung, Taiwan;Acatenango growing region, Guatemala;Medium Light;NT $1200/227 grams;59;79;528.63;42.32804233;Guatemala;Tiachung, Taiwan;Taiwan;Guatemala
Ethiopia Bench-Maji Lucy Geisha Anaerobic Natural;94;Kaohsiung, Taiwan;Bench-Maji Zone, southern Ethiopia;Light;NT $300/100 grams;64;88;300;10.58201058;Ethiopia;Kaohsiung, Taiwan;Taiwan;Ethiopia
Wilton Benitez Colombia Yellow Bourbon;96;Madison, Wisconsin;Piendamó, Cauca, Colombia;Light;$22.00/8 ounces;63;88;9.7;22;Colombia;Madison, Wisconsin;USA;Colombia
Kona Tropical Punch Washed;95;Hilo, Hawai’i Island, Hawai’i;Kona growing region, Hawai’i Island, Hawai'i;Light;$50.00/4 ounces;68;84;44.09;50;;Hilo, Hawaii;USA;
Granate;94;Satipo Province, Peru;Llayla District, Satipo Province, Peru;Medium Light;$13.50/250 grams;57;79;5.4;0.476190476;Peru;Satipo Province, Peru;Peru;Peru
Kenya Kirinyaga;95;Floyd, Virginia;Kirinyaga District, south-central Kenya;Light;$25.00/12 ounces;60;82;7.35;25;Kenya;Floyd, Virginia;USA;Kenya
Costa Rica San Diego;94;Fort Wayne, Indiana;Tarrazu, Costa Rica;Medium Light;$22.00/12 ounces;57;77;6.47;22;Rica;Fort Wayne, Indiana;USA;Costa Rica
Costa Rica La Candelilla Geisha;94;Floyd, Virginia;Tarrazu, Costa Rica;Light;$35.00/12 ounces;62;84;10.29;35;Rica;Floyd, Virginia;USA;Costa Rica
Ethiopia Agaro Duromina;94;San Diego, California;Agaro Duromina, Jimma Zone, Oromia State, Ethiopia;Medium Light;$22.00/12 ounces;59;79;6.47;22;Ethiopia;San Diego, California;USA;Ethiopia
Panama Renaissance Series Flora Geisha Washed;94;Taipei, Taiwan;Boquete growing region, western Panama;Light;NT $800/227 grams;68;94;352.42;28.21869489;Panama;Taipei, Taiwan;Taiwan;Panama
Colombia San Martin Bourbon Aji Star Fruit Peach Honey;95;Yilan, Taiwan;Huila Department, Colombia;Light;NT $650/200 grams;64;88;325;22.92768959;Colombia;Yilan, Taiwan;Taiwan;Colombia
Taiwan COE #3 Alishan Zhou Zhu Yuan Geisha Natural;94;Yilan, Taiwan;Alishan, Taiwan;Light;NT $2,700/100 grams;62;80;2;;Taiwan;Yilan, Taiwan;Taiwan;Taiwan
Las Margaritas Colombia Sudan Rume Natural;95;Madison, Wisconsin;Caicendonia, Valle Del Cauca, Cauca Department, Colombia;Light;$25.00/8 ounces;62;86;11.02;25;Colombia;Madison, Wisconsin;USA;Colombia
Yabitu Koba Ethiopia;95;Madison, Wisconsin;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;$23.00/12 ounces;58;78;6.76;23;Ethiopia;Madison, Wisconsin;USA;Ethiopia
Pantan Musara Sumatra;94;Madison, Wisconsin;Aceh Province, Sumatra, Indonesia;Medium Light;$23.00/12 ounces;57;80;6.76;23;Indonesia;Madison, Wisconsin;USA;Indonesia
Ethiopia Yirgacheffe Misty Valley Aricha Washed G1;94;Taipei, Taiwan;Yirgacheffe growing region, south-central Ethiopia;Light;NT $339/8 ounces;65;93;149.47;339;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
Guatemala El Soccoro Maracaturra Washed;94;Baronett, Wisconsin;Palencia, Guatemala Department, Guatemala;Medium Light;$20.00/12 ounces;60;78;5.88;20;Guatemala;Barronett, Wisconsin;USA;Guatemala
Ethiopia Sidama Bensa Alo Single Variety 74158 Natural;94;New Taipei City, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $840/113 grams;66;88;743.36;29.62962963;Ethiopia;New Taipei, Taiwan;Taiwan;Ethiopia
El Salvador Loma La Gloria Unicorn Natural;95;Reno, Nevada;El Bálsamo, Quetzaltepec growing region, El Salvador;Light;$29.00/10 ounces;64;88;10.23;29;Salvador;Reno, Nevada;USA;El Salvador
Costa Rica Las Lajas SL-28 Natural;94;Durango, Colorado;Sabanilla de Alajuela growing region, Costa Rica;Light;$30.00/12 ounces;58;84;8.82;30;Rica;Durango, Colorado;USA;Costa Rica
Ethiopia Faysel Abdosh;94;Fort Wayne, Indiana;Chericho, Sidamo growing region, Ethiopia;Light;$20.00/12 ounces;64;88;5.88;20;Ethiopia;Fort Wayne, Indiana;USA;Ethiopia
Kenya Kii;94;San Diego, California;Kirinyaga County, Kenya;Medium Light;$26.00/250 grams;58;82;10.4;0.917107584;Kenya;San Diego, California;USA;Kenya
Ethiopia Guji Bishala G1 Red Honey;94;Taichung, Taiwan;Guji Zone, Oromia region, southern Ethiopia;Medium Light;NT $460/8 ounces;58;80;202.82;460;Ethiopia;Taichung, Taiwan;Taiwan;Ethiopia
Ethiopia Sidama Bensa Shantawene Gatta Kenean Dukamo Anaerobic Natural G1;94;Taichung, Taiwan;Bensa district, Sidama Zone, southern Ethiopia;Light;NT $720/8 ounces;66;89;317.46;720;Ethiopia;Taichung, Taiwan;Taiwan;Ethiopia
Kenya Nyeri Hill AB;96;Lexington, Virginia;Nyeri growing region, south-central Kenya;Medium Light;$23.50/12 ounces;58;82;6.91;45800;Kenya;Lexington, Virginia;USA;Kenya
Ethiopia Sidama  Bombe Natural;94;Taitung, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $350/200 grams;61;85;175;12.34567901;Ethiopia;Taitung, Taiwan;Taiwan;Ethiopia
Ethiopia Kayon Mountain;95;Lexington, Virginia;Odo Shakiso District, Guji Zone, southern Ethiopia;Light;$24.00/12 ounces;64;88;7.05;24;Ethiopia;Lexington, Virginia;USA;Ethiopia
Colombia Red Sunset;94;Lexington, Virginia;Santa Barbara, Antioquia Department, Colombia;Light;$27.00/12 ounces;60;84;7.94;27;Colombia;Lexington, Virginia;USA;Colombia
Ethiopia Gesha Village Lot 108;94;Jersey City, New Jersey;Bench-Maji Zone, southern Ethiopia;Light;$30.00/50 grams;66;89;60;1.058201058;Ethiopia;Jersey, New Jersey;USA;Ethiopia
Panama Geisha Vuelta DRD Natural Lot GN-01;97;Hilo, Hawai’i Island, Hawai’i;Boquete growing region, western Panama;Light;$400.00/20 grams;64;88;2000;14.10934744;Panama;Hilo, Hawaii;USA;Panama
Panama Kaizen Lot GW-01;96;Hilo, Hawai’i Island, Hawai’i;Boquete growing region, western Panama;Light;$400.00/20 grams;65;90;2000;14.10934744;Panama;Hilo, Hawaii;USA;Panama
Kona Geisha Champagne Natural;95;Hilo, Hawai’i Island, Hawai’i;Hōlualoa, North Kona growing region, Hawai’i Island, Hawai’i;Light;$200.00/4 ounces;64;88;176.37;200;;Hilo, Hawaii;USA;
Ethiopia Nano Genji Lot #8;94;Manlius, New York;Agaro Gera, Jimma Zone, Oromia State, Ethiopia;Light;$22.00/12 ounces;64;84;6.47;22;Ethiopia;Manlius, New York;USA;Ethiopia
Colombia Hacienda La Pradera Mokka;94;Manlius, New York;Santander Department, Colombia;Light;$42.00/12 ounces;64;88;12.35;42;Colombia;Manlius, New York;USA;Colombia
La Piragua Pink Bourbon Colombia;94;Madison, Wisconsin;Palestina, Huila Department, Colombia;Light;$22.00/12 ounces;62;84;6.47;22;Colombia;Madison, Wisconsin;USA;Colombia
Kenya Baragwi Guama;94;Fort Wayne, Indiana;Guama Village, Kirinyaga County, Kenya;Medium Light;$22.00/12 ounces;60;78;6.47;22;Kenya;Fort Wayne, Indiana;USA;Kenya
Ethiopia Washed Uraga More Floral Kurume Espresso;95;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;NT $270/8 ounces;58;79;119.05;270;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Ethiopia Natural Sidama ALO Village FL;95;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $480/4 ounces;62;84;423.28;480;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Ethiopia Washed Sidama Bura Karamo 74158;95;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $320/8 ounces;64;84;141.09;320;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Ethiopia Natural Guji Hambella Wamena Buku G1;94;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Light;NT $320/8 ounces;64;88;141.09;320;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Guatemala Naranjas Nadando;95;Topeka, Kansas;Huehuetenango, Guatemala;Light;$22.00/10 ounces;62;84;7.76;22;Guatemala;Topeka, Kansas;USA;Guatemala
Songstress Geisha;95;Taipei, Taiwan;Bench-Maji Zone, southern Ethiopia;Light;NT $370/8 ounces;64;86;163.14;370;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
Ethiopia Gesha Village Surma 1931 Mossto Anaerobic Honey;95;Baronett, Wisconsin;Bench-Maji Zone, southern Ethiopia;Light;$40.00/6 ounces;62;84;23.52;40;Ethiopia;Barronett, Wisconsin;USA;Ethiopia
Panama Bambito Estate Geisha;95;San Diego, California;Volcan Baru, Boquete growing region, Panama;Light;$38.75/4 ounces;64;88;34.17;38.75;Panama;San Diego, California;USA;Panama
Colombia Efren Echeverry;94;Fort Wayne, Indiana;Pitalito, Huila Department, Colombia;Light;$25.00/12 ounces;62;84;7.35;25;Colombia;Fort Wayne, Indiana;USA;Colombia
Pueo Blend;94;Hilo, Hawai'i;Guatemala and other undisclosed origins;Medium Light;$20.00/10 ounces;50;77;7.05;20;;Hilo, Hawaii;USA;
Wai Meli Morning;94;Mountain View, Hawai'i;Kona and Ka’u, Hawai’i, other undisclosed origins;Medium Light;$30.00/10 ounces;54;72;10.58;30;;Mountain View, Hawaii;USA;
Ayla Bombe Natural;94;Madison, Wisconsin;Sidamo growing region, southern Ethiopia;Light;$22.00/12 ounces;63;87;6.47;22;Ethiopia;Madison, Wisconsin;USA;Ethiopia
Wilton Benitez Striped Bourbon Colombia;94;Madison, Wisconsin;Piendamó, Cauca, Colombia;Light;$25.00/8 ounces;62;84;11.02;25;Colombia;Madison, Wisconsin;USA;Colombia
Buena Vista Pink Bourbon Colombia;94;Madison, Wisconsin;La Muralla, Huila Department, Colombia;Medium Light;$22.00/8 ounces;59;77;9.7;22;Colombia;Madison, Wisconsin;USA;Colombia
Yunlin Washed Geisha;96;Yunlin, Taiwan;Yunlin County, Taiwan;Light;NT $800/120 grams;64;90;666.67;28.21869489;Taiwan;Yunlin, Taiwan;Taiwan;Taiwan
Ethiopia Banko Washed;96;Floyd, Virginia;Gedeb District, Gedeo Zone, southern Ethiopia;Light;$24.00/12 ounces;62;84;7.05;24;Ethiopia;Floyd, Virginia;USA;Ethiopia
Colombia Villa Betulia CM Sidra;96;Denver, Colorado;Acevedo, Huila Department, Colombia;Light;$46.00/8 ounces;60;84;20.28;46;Colombia;Denver, Colorado;USA;Colombia
Ethiopia Anaerobic Worka Sakaro;95;Floyd, Virginia;Gedeb District, Gedeo Zone, southern Ethiopia;Light;$24.00/12 ounces;66;92;7.05;24;Ethiopia;Floyd, Virginia;USA;Ethiopia
Costa Rica Hacienda Sonora Natural Milenio;94;Denver, Colorado;Alajuela, Central Valley, Costa Rica;Light;$19.00/8 ounces;62;84;8.38;19;Rica;Denver, Colorado;USA;Costa Rica
Costa Rica Alma Negra Natural;94;Floyd, Virginia;Alajuela, Central Valley, Costa Rica;Light;$25.00/12 ounces;58;88;7.35;25;Rica;Floyd, Virginia;USA;Costa Rica
El Salvador Finca Santa Sofia Natural Kenya;94;Denver, Colorado;Santa Ana, El Salvador;Light;$22.00/8 ounces;68;94;9.7;22;Salvador;Denver, Colorado;USA;El Salvador
Colombia Aponte Honey;94;Floyd, Virginia;Aponte, Nariño Department, Colombia;Light;$23.00/12 ounces;64;88;6.76;23;Colombia;Floyd, Virginia;USA;Colombia
Finca Huixoc Geisha;94;Antigua Guatemala, Guatemala;La Democracia, Huehuetenango Department, Guatemala;Light;$24.00/12 ounces;60;82;7.05;24;Guatemala;Antigua, Guatemala;Guatemala;Guatemala
Costa Rica Rivense Finca El Mango Honey Process;94;Thermopolis, Wyoming;Chirripo, Brunca growing region, Costa Rica;Light;$16.00/12 ounces;62;84;4.7;16;Rica;Thermopolis, Wyoming;USA;Costa Rica
El Salvador Unicorn;94;Truckee, California;El Bálsamo Quetzaltepec, El Salvador;Medium Light;$24.00/8 ounces;58;80;10.58;24;Salvador;Truckee, California;USA;El Salvador
Kenya Kiamwangi Factory AA TOP;94;Taipei, Taiwan;Nyeri growing region, south-central Kenya;Medium Light;NT $389/8 ounces;60;80;171.52;389;Kenya;Taipei, Taiwan;Taiwan;Kenya
Ethiopia Sidama Bensa Hamasho Washed TOH#2;94;Taipei, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $349/8 ounces;64;86;153.88;349;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
Costa Rica Red Java Honey Finca Los Pinitos;95;Charlotte, North Carolina;Alajuela, Central Valley, Costa Rica;Light;$29.00//12 ounces;60;88;8.52;;Rica;Charlotte, North Carolina;USA;Costa Rica
Costa Rica Finca El Cañal Double Diamond;94;Charlotte, North Carolina;Alajuela, Central Valley, Costa Rica;Light;$28.00/12 ounces;62;86;8.23;28;Rica;Charlotte, North Carolina;USA;Costa Rica
Honduras Roger Dominguez;94;Fort Wayne, Indiana;La Paz, Marcala growing region, Honduras;Light;$20.00/8 ounces;66;88;8.82;20;Honduras;Fort Wayne, Indiana;USA;Honduras
Ngurueri Kenya;94;Madison, Wisconsin;Embu County, Kenya;Light;$22.00/12 ounces;62;80;6.47;22;Kenya;Madison, Wisconsin;USA;Kenya
Cruz Loma Ecuador;94;Madison, Wisconsin;San José de Minas, Pichincha Province, Ecuador;Light;$22.00/8 ounces;60;82;9.7;22;Ecuador;Madison, Wisconsin;USA;Ecuador
Colombia Monteblanco Nectar Citrullus Secret Stash;94;Sacramento, Calfornia;Peñas Blancas Mountains, Acevedo, Colombia;Medium Light;$20.00/8 ounces;58;82;8.82;20;Colombia;Sacramento, California;USA;Colombia
Costa Rica La Laguna Lot Secret Stash;94;Sacramento, California;Tarrazu, Costa Rica;Light;$20.00/8 ounces;64;86;8.82;20;Rica;Sacramento, California;USA;Costa Rica
Ballista Espresso;94;Lee, Massachusetts;Ethiopia, Brazil;Medium Light;$18.45/12 ounces;56;74;5.42;18.45;Brazil;Lee, Massachusetts;USA;Brazil
Ethiopia Natural Lion 88;94;Taipei, Taiwan;Guji Zone, Oromia region, southern Ethiopia;Light;NT $500/8 ounces;66;90;220.46;500;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
Panama Lamastus Family Elida Estate Loma Geisha Washed;97;New Taipei City, Taiwan;Boquete growing region, western Panama;Light;NT $1,695/4 ounces;64;88;0.88;;Panama;New Taipei, Taiwan;Taiwan;Panama
Colombia El Paraiso Geisha Anti-Maceration;95;Osaka, Japan;Piendamo, Cauca Department, Colombia;Light;$29.00/50 grams;70;94;58;1.02292769;Colombia;Osaka, Japan;Japan;Colombia
