coffee_name;total_score;roaster_location;coffee_origin;roast_level;est._price;agtron_ground;agtron_roast;price_per_100g;price_per_ounce;origin_country
Guatemala COE-NW#2 Sierra Roja Geisha Washed;96;Yilan, Taiwan;San Cristobal Acasaguastlán, El Progreso, Sierra de las Minas, Guatemala;Medium Light;NT $600/100 grams;60;80;600;21.164021164021165;Guatemala
Guatemala La Voz;94;San Diego, California;San Juan La Laguna, Lake Atitlan, Guatemala;Medium Light;$21.00/12 ounces;58;76;6,17;21.0;Guatemala
Cafe Granja La Esperanza Sudan Rume;94;Hong Kong, China;Caicedonia, Valle del Cauca Department, Colombia;Medium Light;$30.00/6 ounces;59;77;17,64;30.0;Colombia
Ethiopia Guji Laayoo Natural;95;Minneapolis, Minnesota;Uraga District, Guji Zone, Ethiopia;Light;$24.95/12 ounces;64;84;7,33;24.95;Ethiopia
Colombia Cafe Granja La Esperanza Sidra Natural;95;Jersey City, New Jersey;Valle del Cauca Department, Colombia;Medium Light;$45.00/175 grams;58;80;25,71;1.5873015873015872;Colombia
Kenya Gatomboya;94;Truckee, California;Nyeri growing region, south-central Kenya;Medium Light;$24.00/12 ounces;56;76;7,05;24.0;Kenya
Nicaragua La Bendicion Yellow Maracaturra Natural;94;Minneapolis, Minnesota;Nueva Segovia, Nicaragua;Light;$14.95/6 ounces;64;86;8,79;14.95;Nicaragua
Kona Lactic Washed;94;Minneapolis, Minnesota;Kona, Big Island of Hawai’i;Medium Light;$24.95/4 ounces;60;76;22;24.95;
Kenya Kamwangi;95;San Diego, California;Gichugu Division, Kirinyaga County, central Kenya;Medium Light;$24.00/12 ounces;58;78;7,05;24.0;Kenya
Ethiopia Bench Maji Gesha Village Oma Geisha 1931 Lot 55 Natural;94;Taipei City, Taiwan;Bench-Maji Zone, Southern Ethiopia;Light;NT $755/113 grams;64;86;668,14;26.63139329805996;Ethiopia
Ethiopia Guji Natural Euphora Special Lot;94;Taipei, Taiwan;Guji Zone, Oromia Region, Southern Ethiopia;Medium Light;NT $320/8 ounces;59;79;141,09;320.0;Ethiopia
Sudan Rume;95;Madison, Wisconsin;Valle del Cauca Department, Colombia;Medium Light;$30.00/8 ounces;57;74;13,23;30.0;Colombia
Testi Ayla Double Ethiopia;97;Lee, Massachusetts;Sidama Zone, Oromia Region, Ethiopia;Light;$54.95/12 ounces;64;86;16,15;54.95;Ethiopia
Primavera Colombia Espresso;94;Madison, Wisconsin;Huila Department, Colombia;Medium Light;$19.00/12 ounces;58;78;5,59;19.0;Colombia
Gigesa Ethiopia;94;Madison, Wisconsin;Guji Zone, Oromia Region, Ethiopia;Light;$18.00/12 ounces;62;80;5,29;18.0;Ethiopia
Espresso Blend;94;New Taipei City, Taiwan;Not disclosed;Medium;NT $450/225 grams;51;64;200;15.873015873015872;
Classic MK Blend;94;Taipei, Taiwan;"Honduras; Guatemala; Colombia";Medium Dark;NT $450/225 grams;36;48;200;15.873015873015872;Colombia
Chocolate Lover’s Espresso;94;Taipei, Taiwan;"Guatemala; Brazil; Colombia";Medium Dark;NT $300/225 grams;39;53;133,33;10.582010582010582;Colombia
Golden Parrot Blend;95;Chia-Yi, Taiwan;"Guatemala; Colombia; Ethiopia";Medium;NT $210/8 ounces;50;67;92,59;210.0;Ethiopia
Bull Demon King;96;Taoyuan, Taiwan;"Colombia; Peru; Rwanda; Ethiopia";Medium Dark;NT $550/8 ounces;35;48;242,5;550.0;Ethiopia
Tanzania Gesha Peaberry;95;Minneapolis, Minnesota;Ngorongoro, Tanzania;Light;$74.95/4 ounces;62;80;66,09;74.95;Tanzania
Ethiopia Natural Guji D Minor 21/01;95;Chia-Yi, Taiwan;Guji Zone, Oromia Region, Southern Ethiopia;Light;NT $375/8 ounces;64;84;165,34;375.0;Ethiopia
Ethiopia Hambela Yellow Honey James Selection;95;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Light;NT $410/8 ounces;62;80;180,78;410.0;Ethiopia
Costa Rica Black Honey;94;Chia-Yi, Taiwan;Costa Rica;Medium Light;NT $275/8 ounces;58;76;121,25;275.0;Rica
Ethiopia Guji Hambela Kudume Yellow Honey;94;Taipei, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;NT $630/225 grams;58;76;280;22.22222222222222;Ethiopia
Ethiopia Sidamo Bensa Mirado Natural;94;Kaohsiung, Taiwan;Sidamo growing region, south-central Ethiopia;Light;NT $500/227 grams;64;80;220,26;17.636684303350968;Ethiopia
Costa Rica La Florida Red Honey Espresso;95;Chia-Yi, Taiwan;Copey District, Costa Rica;Medium Light;NT $300/8 ounces;54;78;132,28;300.0;Rica
Ethiopia Yirgacheffe Botabaa Washed G1 21/01;94;Chia-Yi, Taiwan;ochere Woreda, Gedeo Zone, Ethiopia;Medium Light;NT $290/8 ounces;60;80;127,87;290.0;Ethiopia
Yemen Mocca Matari;94;Pingtung, Taiwan;Bani Matar growing region, Yemen;Medium Light;NT $680/227 grams;60;78;299,56;23.98589065255732;Yemen
Mojave Vault Series Geisha Natural;94;Henderson, Nevada;Volcan, Panama;Light;$49.95/8 ounces;64;84;22,02;49.95;Panama
Kabiufa Papua New Guinea;94;Madison, Wisconsin;Kabiufa, Eastern Highlands, Papua New Guinea;Light;$16.00/12 ounces;60;82;4,7;16.0;Guinea
Ethiopia Buku Abela;94;New Taipei City, Taiwan;Guji Zone, Oromia Region, Hambela Woreda, Ethiopia;Medium Light;NT $350/227 grams;60;78;154,19;12.345679012345679;Ethiopia
Colombia Finca Santa Maria;95;Manlius, New York;Aratoca, Santander Department, Colombia;Medium Light;$18.00/12 ounces;58;78;5,29;18.0;Colombia
Yemen Mocha Haimi;94;Henderson, Nevada;Sana’a growing region, Yemen;Light;$35.00/8 ounces;63;83;15,43;35.0;Yemen
Costa Rica Hacienda Tobosi Villalobos Anaerobic Natural;94;Yilan, Taiwan;El Guarco, Cartago Province, Costa Rica;Light;NT $600/200 grams;62;80;300;21.164021164021165;Rica
Colombia Wush Wush;94;Manlius, New York;Santander Department, Colombia;Medium;$27.00/12 ounces;56;64;7,94;27.0;Colombia
Brazil Gauriroba Natural;94;Osaka, Japan;Minas Gerais State, southeastern Brazil;Light;¥2980/100 grams;82;104;2980;;Brazil
Rwanda “Silverback Returns”;94;Taoyuan, Taiwan;Rutsiro District, western Rwanda;Medium Dark;NT $800/8 ounces;42;58;352,73;800.0;Rwanda
Brazil Ipanema Golden Edition C26 Lychee;94;Yilan, Taiwan;Ipanema, Brazil;;NT $200/160-ml bottle;0;0;125;;Brazil
Ethiopia Mormora Cold Brew;94;Spokane, Washington;Guji Zone, Oromia Region, Ethiopia;;$5.50/12-ounce bottle;0;0;1,62;;Ethiopia
Gigesa Natural;95;Madison, Wisconsin;Guji Zone, Oromia Region, Southern Ethiopia;Medium Light;$18.00/12 ounces;58;78;5,29;18.0;Ethiopia
El Jocote Natural;95;Madison, Wisconsin;Rosario de Desamparados, Tarrazú, Costa Rica;Medium Light;$16.00/8 ounces;60;78;7,05;16.0;Rica
Panama Finca Santa Teresa Summer Gesha;94;Chicago, Illinois;Finca Santa Teresa, Volcan, Panama;Medium Light;$87.00/12 ounces;60;78;25,57;87.0;Panama
Baby Dragons;94;San Diego, California;Caicedonia, Valle de Cauca Department, Colombia;Medium Light;$28.00/12 ounces;60;77;8,23;28.0;Colombia
Kona Maragogype Peaberry Natural;95;Pahala, Hawaii;Kona growing region, Big Island of Hawai’i;Medium Light;$25.00/4 ounces;58;80;22,05;25.0;
Ecuador San José de Minas Double-Anaerobic;94;Johns Creek, Georgia;Pichincha Province, Ecuador;Light;$45.00/12 ounces;62;80;13,23;45.0;Ecuador
Nyeri Hill Kenya;95;Madison, Wisconsin;Nyeri growing region, Kenya;Medium Light;$20.50/12 ounces;58;80;6,03;45797,00;Kenya
La Perla Chiquita Ecuador;95;Madison, Wisconsin;Pichincha Province, Ecuador;Medium Light;$21.00/12 ounces;56;76;6,17;21.0;Ecuador
Pantan Musara Sumatra;94;Madison, Wisconsin;Aceh Province, Sumatra, Indonesia;Medium Light;$17.90/12 ounces;56;74;5,26;45917,00;Indonesia
Las Flores Colombia;94;Madison, Wisconsin;San Isidro, Acevedo, Huila, Colombia;Medium Light;$20.00/12 ounces;58;78;5,88;20.0;Colombia
Nicaragua Yellow Pacamara Natural;94;Minneapolis, Minnesota;Matagalpa, Nicaragua;Light;$29.95/4 ounces;62;80;26,41;29.95;Nicaragua
Ethiopia West Arsi Nensebo Natural G1;95;Taichung City, Taiwan;Guji Zone, southern Ethiopia;Medium Light;$24.00/12 ounces;52;70;7,05;24.0;Ethiopia
Ethiopia Sidama Bona Sweet Natural;94;Taichung City, Taiwan;Sidamo Zone, Oromia Region, Ethiopia;Light;$20.00/12 ounces;62;80;5,88;20.0;Ethiopia
Congo Square;94;Houston, Texas;South Kivu growing region, Democratic Republic of the Congo;Medium Light;$20.00/12 ounces;56;74;5,88;20.0;Congo
Rwanda Rulindo Tumba;94;Hamilton, Montana;Northern Province, Rwanda;Medium Light;$17.00/12 ounces;60;78;5;17.0;Rwanda
Tanzania Sambewe;94;Lexington, Virginia;Songwe Region, Mbozi District, Tanzania;Medium Light;$16.95/12 ounces;58;78;4,98;16.95;Tanzania
Rwanda Kinini Village Natural;94;Topeka, Kansas;Northern Province, Rwanda;Medium Light;$21.50/12 ounces;58;78;6,32;45798,00;Rwanda
Tanzania Peaberry;94;Suwanee, Georgia;Ngorongoro Crater region, northern Tanzania;Medium Light;$17.99/16 ounces;53;71;3,97;17.99;Tanzania
Tanzania Ngila Estate SL28;95;Minneapolis, Minnesota;Ngorogoro, Tanzania;Light;$24.95/12 ounces;60;84;7,33;24.95;Tanzania
Ethiopia Washed Sidama Nafasha 74158 21/01;96;Chia-Yi, Taiwan;Sidama Zone, Oromia Region, Ethiopia;Medium Light;NT $290/8 ounces;60;78;127,87;290.0;Ethiopia
Ethiopia Tibe Haro Uraga;95;Floyd, Virginia;Uraga District, Guji Zone, Ethiopia;Medium Light;$20.49/12 ounces;58;78;6,02;20.49;Ethiopia
Taiwan Natural Alishan TFU’YA Kakalove Lot;95;Chia-Yi, Taiwan;Alishan, Chia-Yi, Taiwan;Medium Light;NT $700/4 ounces;58;78;617,28;700.0;Taiwan
Ethiopia Natural Guji Blue Donkey 21/01;95;Chia-Yi, Taiwan;Guji Zone, Oromia Region, Ethiopia;Light;NT $325/8 ounces;60;82;143,3;325.0;Ethiopia
Kenya Nyeri Gachatha Washed AB;94;Chia-Yi, Taiwan;Nyeri growing region, south-central Kenya;Medium Light;NT $325/8 ounces;58;76;143,3;325.0;Kenya
Ethiopia Yirgacheffe G1 Mulugeta Tsige;95;Yilan, Taiwan;Yirgacheffe growing region, south-central Ethiopia;Medium Light;NT $500/200 grams;60;78;250;17.636684303350968;Ethiopia
Kenya AA Top Gathambi Station;94;Yilan, Taiwan;Kirinyaga, Kenya;Medium Light;NT $550/200 grams;58;76;275;19.400352733686066;Kenya
Ethiopia Guji Gerba Station G1 Natural Espresso;94;Yilan, Taiwan;Gerbicho Rogicha, Bule Hora District, Guji Zone, Oromia Region, Ethiopia;Medium Light;NT $450/200 grams;56;76;225;15.873015873015872;Ethiopia
Ethiopia Keramo Village;94;Redding, California;Sidamo growing region, south-central Ethiopia;Medium Light;$30.00/300 grams;60;77;10;1.0582010582010581;Ethiopia
Ethiopia Uraga Washed G1;94;Bozeman, Montana;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;$17.95/12 ounces;58;78;5,28;17.95;Ethiopia
Kenya Karindudu AA;95;Chicago, Illinois;Nyeri growing region, south-central Kenya;Medium Light;$22.00/12 ounces;56;76;6,47;22.0;Kenya
Colombia Cardona Natural;94;San Diego, California;Santa Barbara, Antioquia Department, Colombia;Light;$25.00/12 ounces;62;80;7,35;25.0;Colombia
Ethiopia Guji Anaerobic;94;Chicago, Illinois;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;$25.00/12 ounces;57;73;7,35;25.0;Ethiopia
Maypop;94;Bogota, Colombia;Risaralda, Colombia;Medium Light;$24.99/12 ounces;56;72;7,35;24.99;Colombia
La Soledad Colombia;94;Madison, Wisconsin;Urrao, Antioquia Department, Colombia;Medium Light;$18.00/8 ounces;58;80;7,94;18.0;Colombia
Colombia Huila Acevedo El Paraiso;94;Chicago, Illinois;Huila Department, Colombia;Medium Light;$25.00/12 ounces;57;77;7,35;25.0;Colombia
Love of Desolate;96;Nantou, Taiwan;Los Angeles, Sabanilla de Alajuela, Costa Rica;Medium Light;NT $500/227 grams;58;80;220,26;17.636684303350968;Rica
Blend No.7 Berrichee;95;Taipei, Taiwan;"Ethiopia; Colombia; Panama; Mexico";Medium Light;NT $420/200 grams;54;74;210;14.814814814814815;Mexico
Ethiopia Niguse Gemeda Mude Natural;94;Nantou, Taiwan;Hayisa Village, Bure Woreda, Sidama Zone, Ethiopia;Medium Light;NT $900/227 grams;60;78;396,48;31.746031746031743;Ethiopia
La Estrella Carbonic Geisha Reserve;95;Denver, Colorado;Tolima Department, Colombia;Medium Light;$30.00/150-gram tin;59;77;20;;Colombia
Ethiopia Guji Wush Wush Anaerobic Natural;95;Taipei, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;NT $560/227 grams;57;77;246,7;19.753086419753085;Ethiopia
Ethiopia Guji Wush Wush;95;Minneapolis, Minnesota;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;$24.95/12 ounces;58;77;7,33;24.95;Ethiopia
Tres Dragones Colombia;94;San Diego, California;Caicedonia, Valle de Cauca Department, Colombia;Medium Light;$25.00/12 ounces;60;78;7,35;25.0;Colombia
Panama Elida Estate Catuaí Natural ASD;94;Branford, Connecticut;Boquete growing region, western Panama;Medium Light;$32.99/16 ounces;58;76;7,27;32.99;Panama
Ethiopia Yirgacheffe Israel Degfa Natural Gr.1;94;Kaohsiung City, Taiwan;Yirgachefffe growing region, southern Ethiopia;Medium Light;NT $450/227 grams;56;76;198,24;15.873015873015872;Ethiopia
Panama Elida Estate Washed;96;Jersey City, New Jersey;Boquete growing region, western Panama;Medium Light;$60.00/150 grams;59;77;40;2.1164021164021163;Panama
Bourbon Barrel Aged Ethiopia Cold Brew;94;Glendale, California;Yirgacheffe growing region, southern Ethiopia;;$11.00/375 ml. flask;0;0;;;Ethiopia
Kona Maragogype Natural;94;Minneapolis, Minnesota;Kainaliu, Kona, Big Island of Hawai’i;Medium Light;$29.95/4 ounces;58;82;26,41;29.95;
Kenya Washed Nakuru Gachombe Factory AB;95;Chia-Yi, Taiwan;Nakuru County, Kenya;Medium Light;NT $210/8 ounces;56;78;92,59;210.0;Kenya
Ethiopia Natural Guji Hambella Wate Peaberry;95;Chia-Yi, Taiwan;Guji Zone, Oromia Region, Ethiopia;Light;NT $375/8 ounces;62;84;165,34;375.0;Ethiopia
Ethiopia Guji Shakiso Dambi Udo Natural Anaerobic;94;Taipei, Taiwan;Guji Zone, southern Ethiopia;Medium Light;NT $360/225 grams;59;77;160;12.698412698412698;Ethiopia
Ethiopia Natural Guji;94;Chia-Yi, Taiwan;Guji Zone, Oromia region, southern Ethiopia;Medium Light;NT $210/8 ounces;56;76;92,59;210.0;Ethiopia
Costa Rica Yellow Honey Kinka Bear Lot 20-02;94;Chia-Yi, Taiwan;Costa Rica;Medium Light;NT $250/8 ounces;52;70;110,23;250.0;Rica
Ethiopia Guji Shakiso Dambi Udo Honey;94;Taipei, Taiwan;Guji Zone, southern Ethiopia;Light;NT $350/225 grams;62;80;155,56;12.345679012345679;Ethiopia
Kenya Washed Nyeri Gichathaini Factory AB;94;Chia-Yi, Taiwan;yeri growing region, south-central Kenya;Medium Light;NT $390/8 ounces;60;78;171,96;390.0;Kenya
Colombia Pink Bourbon Honey;95;San Diego, California;Huila Department, Colombia;Medium Light;$29.00/12 ounces;60;80;8,52;29.0;Colombia
Karatina Kenya;95;Madison, Wisconsin;Nyeri growing region, south-central Kenya;Medium Light;$22.00/12 ounces;60;78;6,47;22.0;Kenya
Cerro Azul Geisha;95;Madison, Wisconsin;Trujillo, Valle del Cauca Department, Colombia;Light;$28.00/8 ounces;62;80;12,35;28.0;Colombia
Kona SL34 Sweet Spot;94;Holualoa, Hawaii;Kona growing region, Big Island of Hawai’i;Medium Light;$49.95/7 ounces;58;80;25,17;49.95;
Haraaz Red;95;Madison, Wisconsin;Haraaz growing region, Yemen;Medium Light;$17.50/8 ounces;58;82;7,72;45794,00;Yemen
Kona Mocca®;96;Holualoa, Hawai’i;Holualoa, North Kona growing district, “Big Island” of Hawai’i;Medium Light;$87.50/8 ounces;56;74;38,58;87.5;
Panama Elida Green-Tip Geisha La Torre ASD;95;Branford, Connecticut;Boquete growing region, western Panama;Light;$120.00/16 ounces;62;84;26,46;120.0;Panama
Kona Peaberry;94;Mountain View, Hawai’i;Kona growing region, Big Island of Hawai’i;Medium Light;$35.00/10 ounces;56;76;12,35;35.0;
Panama Finca Los Lajones Natural;94;San Diego, California;Boquete growing region, Panama;Light;$29.00/12 ounces;60;82;8,52;29.0;Panama
SL28;94;Captain Cook, Hawai’i;North Kona growing district, “Big Island” of Hawai’i;Medium Light;$33.00/8 ounces;56;76;14,55;33.0;
Bourbon Pointu Natural;94;Holualoa, Hawai’i;Kona growing region, Big Island of Hawai’i;Medium Light;$50.00/7 ounces;58;76;25,2;50.0;
Ethiopia Guji Hambela Buku Abel Slow Dry Natural 2400m;94;Douliou City, Taiwan;Guji Zone, Oromia Region, Southern Ethiopia;Light;NT $400/220 grams;64;82;181,82;14.109347442680775;Ethiopia
Yemen Al Mashtal Al Burhani;94;Minneapolis, Minnesota;Haraaz growing region, Yemen;Medium Light;$24.95/4 ounces;58;78;22;24.95;Yemen
Flight Seasonal Espresso;95;Floyd, Virginia;"Ethiopia; Dominican Republic";Medium Light;$18.99/12 ounces;58;74;5,58;18.99;Republic
Panama Boquete Flor De Mariposa Geisha Espresso;96;Chia-Yi, Taiwan;Boquete growing region, western Panama;Medium Light;NT $500/8 ounces;54;76;220,46;500.0;Panama
Guji Ethiopia Washed;94;Johns Creek, Georgia;Guji Zone, Oromia Region, southern Ethiopia;Light;$17.99/12 ounces;62;84;5,29;17.99;Ethiopia
Colombia Monteblanco Geisha;94;Harrisonburg, Virginia;Huila Department, Colombia;Light;$9.99/4 ounces;64;82;8,81;36404,00;Colombia
Ethiopia Gedeo Kochere Reko Natural;94;Chia-Yi, Taiwan;Yirgacheffe growing region, southern Ethiopia;Light;$16.00/230 grams;64;84;6,96;0.564373897707231;Ethiopia
Costa Rica Aris Red Honey Lot 2002 Espresso;94;Chia-Yi, Taiwan;Central Valley, Costa Rica;Medium Light;NT $270/8 ounces;52;70;119,05;270.0;Rica
Twisted V.6 Espresso;94;Madison, Wisconsin;"South America; Central America; Africa";Medium Light;$15.75/12 ounces;54;74;4,63;15.75;Africa
Aged Sumatra Ulos Batak 2015;94;Minneapolis, Minnesota;Lintong growing region, Sumatra, Indonesia;Medium;$18.95/12 ounces;45;63;5,57;18.95;Indonesia
Kona Uluwehi SL34;94;Minneapolis, Minnesota;Holualoa, Kona, Big Island of Hawai’i;Medium Light;$29.95/4 ounces;60;80;26,41;29.95;
Colombia Pink Bourbon Finca El Chaparote;94;Minneapolis, Minnesota;Huila Department, Colombia;Light;$14.95/6 ounces;64;82;8,79;14.95;Colombia
Ethiopia Neja Fadil;94;San Diego, California;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;$20.00/12 ounces;58;78;5,88;20.0;Ethiopia
Peru Buena Vista Valerio Almanza Ccahua;94;Manlius, New York;Cusco, Peru;Medium Light;$27.00/8 ounces;60;78;11,9;27.0;Peru
Panama Finca Santa Teresa Lot 9;94;Reno, Nevada;Volcan growing region, western Panama;Medium Light;$20.00/12 ounces;60;78;5,88;20.0;Panama
Guatemala Cobán Chicoj Cooperative Red Honey Fair Trade;94;Yilan, Taiwan;Cobán growing region, central Guatemala;Medium Light;NT $320/200 grams;58;78;160;11.28747795414462;Guatemala
Ethiopia Halo Hartume Daniel Mijane;94;Reno, Nevada;Yirgacheffe growing region, southern Ethiopia;Medium Light;$19.00/12 ounces;58;78;5,59;19.0;Ethiopia
Colombia Cauca El Paraiso;96;Osaka, Japan;Cauca, Colombia;Light;¥ 1,580/100 grams;85;105;1;;Colombia
Taiwan Songyue Geisha;94;Osaka, Japan;Yunlin, Taiwan;Light;¥ 2,640/50 grams;79;92;4;;Taiwan
Kenya Nyeri;94;Taipei, Taiwan;Nyeri growing region, south-central Kenya;Medium Light;NT $650/225 grams;60;78;288,89;22.92768959435626;Kenya
Kenya Kirinyaga Baragwi Karumandi AA;94;Durango, Colorado;South-central Kenya;Medium Light;$16.95/12 ounces;54;74;4,98;16.95;Kenya
Harimau Tiger Sumatra;94;Madison, Wisconsin;Aceh Province, Sumatra, Indonesia;Medium Light;$17.00/12 ounces;54;74;5;17.0;Indonesia
Ethiopia Sidamo Washed;95;Taipei, Taiwan;Sidama (also Sidamo) growing region, southern Ethiopia;Medium Light;NT $372/227 grams;58;78;163,88;13.121693121693122;Ethiopia
Ethiopia Guji Uraga Washed;95;Taipei, Taiwan;Guji Zone, southern Ethiopia;Medium Light;NT $252/227 grams;60;78;111,01;8.88888888888889;Ethiopia
Indonesia Golden Sumatra TP Espresso;96;Yilan, Taiwan;Aceh Province, Sumatra, Indonesia;Medium;NT $450/200 grams;44;62;225;15.873015873015872;Indonesia
Kenya Gachatha;95;Sacramento, California;South-central Kenya;Medium Light;$22.50/12 ounces;54;72;6,61;45799,00;Kenya
Ethiopia Suke Quto Single-Origin Espresso;94;Sacramento, California;Guji Zone, Oromia Region, south-central Ethiopia;Medium Light;$19.00/12 ounces;52;72;5,59;19.0;Ethiopia
Ethiopia Gera Limu;94;Sacramento, California;Oromia growing region, southern Ethiopia;Medium Light;$19.00/12 ounces;58;80;5,59;19.0;Ethiopia
Panama Pacamara Natural;94;Lloydminster, Saskatchewan, Canada;Volcan growing region, western Panama;Medium Light;CAD $50/200 grams;52;70;25;;Panama
Ka’u Pink Honey;94;Minneapolis, Minnesota;Ka'u District, Big Island of Hawai’i;Light;$24.95/4 ounces;64;84;22;24.95;
Kona Maragogype Pink Honey;94;Minneapolis, Minnesota;Kainaliu, Kona District, Big Island of Hawai’i;Light;$29.95/4 ounces;64;86;26,41;29.95;
RD1 Espresso Blend;95;Hsinchu, Taiwan;"Guatemala; Ethiopia; Brazil; Indonesia";Medium Light;NT $300/8 ounces;54;72;132,28;300.0;Indonesia
Bull Espresso Blend;95;New Taipei City, Taiwan;"Guatemala; Brazil; Kenya";Medium Light;NT $450/454 grams;56;76;99,12;15.873015873015872;Kenya
Ethiopia Yirgacheffe Gotiti Natural;95;Hsinchu, Taiwan;Yirgacheffe growing region, southern Ethiopia;Medium Light;NT $380/8 ounces;58;80;167,55;380.0;Ethiopia
Ethiopia Demeka Becha;95;Floyd, Virginia;Sidama growing region, southern Ethiopia;Light;$21.99/12 ounces;64;82;6,46;21.99;Ethiopia
Trust the Process — Full Natural;96;Floyd, Virginia;Los Naranjos, La Argentina, Huila Department, Colombia;Light;$18.99/8 ounces;64;84;8,37;18.99;Colombia
Colombia Finca El Caucho Pink Bourbon;95;Minneapolis, Minnesota;Huila, Colombia;Light;$16.95/6 ounces;62;80;9,96;16.95;Colombia
Colombia Antioquia Natural Carbonic Maceration Caturra;95;Chia-Yi, Taiwan;Antioquia Department, Colombia;Medium Light;NT $310/8 ounces;60;80;136,68;310.0;Colombia
Colombia La Gallera Estate;94;Chia-Yi, Taiwan;Tolima Department, Colombia;Light;NT $620/8 ounces;64;84;273,37;620.0;Colombia
Colombia Diofanor Ruiz;94;Hong Kong, China;Quindío Department, Colombia;Medium Light;$25.00/6 ounces;58;76;14,7;25.0;Colombia
Colombia Java El Edén Limited Edition;94;Columbus, Ohio;Tolima, Colombia;Medium Light;$30.00/12 ounces;58;80;8,82;30.0;Colombia
Finca La Maria Geisha Natural;94;Taipei City, Taiwan;Cundinamarca, Colombia;Light;NT $1300/4 ounces;62;80;1146,38;1300.0;Colombia
Angamaza;94;Madison, Wisconsin;Conganama, Loja Province, Ecuador;Medium Light;$20.00/12 ounces;60;78;5,88;20.0;Ecuador
Ethiopia Rhapsody Espresso;95;Taipei, Taiwan;Yirgacheffe growing region, southern Ethiopia;Medium Light;NT $599/227 grams;52;70;263,88;21.128747795414462;Ethiopia
Kona Geisha Champagne Natural;95;Minneapolis, Minnesota;Kealakekua, Kona, Big Island of Hawaii;Light;$74.95/4 ounces;64;84;66,09;74.95;Hawaii
Dafis Abafita Natural Ethiopia;95;Topeka, Kansas;Oromia Region, Jimma Zone, Ethiopia;Light;$21.50/12 ounces;64;84;6,32;45798,00;Ethiopia
Berg Wu Championship Sidamo Washed G1 Lot 20-02;95;Chia-Yi, Taiwan;Sidama (also Sidamo) growing region, southern Ethiopia;Light;NT $340/8 ounces;64;84;149,91;340.0;Ethiopia
Ka’u Yellow Bourbon;94;Mountain View, Hawaii;Ka’u growing region, Big Island of Hawai'i;Medium Light;$33.00/10 ounces;60;78;11,64;33.0;
Ethiopia Natural Hambela Wate;95;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;NT $310/8 ounces;58;76;136,68;310.0;Ethiopia
Kinini Village Rwanda;94;Topeka, Kansas;Northern Province, Rulindo District, Rwanda;Medium Light;$20.00/12 ounces;58;76;5,88;20.0;Rwanda
Ethiopia Natural Guji Uraga G1 Lot 20-05;94;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;NT $375/8 ounces;58;78;165,34;375.0;Ethiopia
Kenya Nyeri Muchoki Estate AA;94;Chia-Yi, Taiwan;Nyeri growing region, south-central Kenya;Light;NT $350/8 ounces;62;80;154,32;350.0;Kenya
Fruity Espresso Blend;95;Hong Kong, China;"Panama; Ethiopia; Kenya";Medium Light;HKD $118/200 grams;56;74;59;;Kenya
Ethiopia Yirgacheffe Cleopatra Natural;94;Taipei, Taiwan;Yirgacheffe growing region, southern Ethiopia;Medium Light;NT $600/200 grams;56;76;300;21.164021164021165;Ethiopia
Ethiopia Yirgacheffe Dumerso G1 Natural;94;Bozeman, Montana;Yirgacheffe growing region, southern Ethiopia;Medium Light;$18.95/12 ounces;57;73;5,57;18.95;Ethiopia
Guatemala Santa Felisa Solar Eclipse Gesha Natural;94;Taipei, Taiwan;Acatenango growing region, Guatemala;Light;NT $620/4 ounces;64;80;546,74;620.0;Guatemala
Coral;94;Llayla District, Satipo Province, Peru;Llayla District, Satipo Province, Peru;Medium Light;$10.00/250 grams;58;78;4;0.3527336860670194;Peru
Ethiopia Guji Goro Muda Washed G1;95;Kaohsiung City, Taiwan;Guji Zone, southern Ethiopia;Light;NT $450/8 ounces;64;82;198,41;450.0;Ethiopia
Ethiopian Guji Ana Sora Alcoholic Natural G1;94;Kaohsiung City, Taiwan;Guji Zone, southern Ethiopia;Medium Light;NT $300/8 ounces;60;80;132,28;300.0;Ethiopia
Panama Hacienda La Esmeralda Gesha;96;Chicago, Illinois;Boquete growing region, western Panama;Medium Light;$56.00/8 ounces;58;78;24,69;56.0;Panama
Ethiopia Cup of Excellence Guji Natural;95;Minneapolis, Minnesota;West Guji Zone, Hambela Wamena Woreda, Ethiopia;Light;$19.95/4 ounces;68;90;17,59;19.95;Ethiopia
Ethiopia Sidama Telamo FTO Natural;95;Berkeley, California;Sidamo (also Sidama) growing region, south-central Ethiopia;Medium Light;$23.00/12 ounces;58;76;6,76;23.0;Ethiopia
Ethiopia Guji Laayyoo Natural;94;Minneapolis, Minnesota;Guji Zone, southern Ethiopia;Light;$24.95/12 ounces;64;82;7,33;24.95;Ethiopia
